840
 216.000   -0.000 4 0
 184.681   -7.079 4 0
 193.559   -7.251 4 0
 202.441   -7.251 4 0
 211.319   -7.079 4 0
 220.188   -6.739 4 0
 180.293  -14.273 4 0
 189.133  -14.781 4 0
 198.000  -14.952 4 0
 206.867  -14.781 4 0
 215.707  -14.273 4 0
 224.494  -13.442 4 0
 175.671  -21.524 4 0
 184.538  -22.522 4 0
 193.501  -23.028 4 0
 202.499  -23.028 4 0
 211.462  -22.522 4 0
 220.329  -21.524 4 0
 229.048  -20.067 4 0
 170.607  -28.755 4 0
 179.533  -30.379 4 0
 188.701  -31.380 4 0
 198.000  -31.718 4 0
 207.299  -31.380 4 0
 216.467  -30.379 4 0
 225.393  -28.755 4 0
 234.000  -26.565 4 0
 211.279   21.959 4 0
 215.712   15.043 4 0
 219.929   23.275 4 0
 220.052    8.043 4 0
 224.268   16.045 4 0
 224.422    0.992 4 0
 228.676    8.718 4 0
 237.907   23.971 5 1
 228.943   -6.075 4 0
 233.272    1.328 4 0
 237.626    8.723 4 0
 247.033   23.307 5 1
 233.741  -13.114 4 0
 238.173   -6.081 4 0
 242.490    0.988 4 0
 246.826    8.050 4 0
 256.110   21.987 5 1
 238.952  -20.067 4 0
 243.506  -13.442 4 0
 247.812   -6.739 4 0
 252.000   -0.000 4 0
 256.188    6.739 4 0
 265.048   20.067 5 1
 274.952   20.067 5 1
 265.395    6.916 4 0
 274.605    6.916 4 0
 283.812    6.739 4 0
 261.000    0.000 4 0
 270.000    0.000 4 0
 279.000    0.000 4 0
 288.000    0.000 4 0
 256.681   -7.079 4 0
 265.559   -7.251 4 0
 274.441   -7.251 4 0
 283.319   -7.079 4 0
 292.188   -6.739 4 0
 252.293  -14.273 4 0
 261.133  -14.781 4 0
 270.000  -14.952 4 0
 278.867  -14.781 4 0
 287.707  -14.273 4 0
 296.494  -13.442 4 0
 247.671  -21.524 4 0
 256.538  -22.522 4 0
 265.501  -23.028 4 0
 274.499  -23.028 4 0
 283.462  -22.522 4 0
 292.329  -21.524 4 0
 301.048  -20.067 4 0
 242.607  -28.755 4 0
 251.533  -30.379 4 0
 260.701  -31.380 4 0
 270.000  -31.718 4 0
 279.299  -31.380 4 0
 288.467  -30.379 4 0
 297.393  -28.755 4 0
 306.000  -26.565 4 0
 283.279   21.959 5 1
 292.052    8.043 4 0
 296.268   16.045 4 0
 300.837   23.958 4 0
 296.422    0.992 4 0
 300.676    8.718 4 0
 305.110   16.395 4 0
 309.907   23.971 4 0
 300.943   -6.075 4 0
 305.272    1.328 4 0
 309.626    8.723 4 0
 314.157   16.066 4 0
 319.033   23.307 4 0
 305.741  -13.114 4 0
 310.173   -6.081 4 0
 314.490    0.988 4 0
 318.826    8.050 4 0
 323.316   15.066 4 0
 328.110   21.987 4 0
 310.952  -20.067 4 0
 315.506  -13.442 4 0
 319.812   -6.739 4 0
 324.000   -0.000 4 0
 328.188    6.739 4 0
 332.494   13.442 4 0
 337.048   20.067 4 0
 346.952   20.067 4 0
 342.000   13.622 4 0
 351.506   13.442 4 0
 337.395    6.916 4 0
 346.605    6.916 4 0
 355.812    6.739 4 0
 333.000    0.000 4 0
 342.000    0.000 4 0
 351.000    0.000 4 0
 360.000    0.000 4 0
 328.681   -7.079 4 0
 337.559   -7.251 4 0
 346.441   -7.251 4 0
 355.319   -7.079 4 0
   4.188   -6.739 4 0
